Listado de pagos - Sistema Caja v3
Exportado: 01/09/2026 10:32
id_pago;id_venta;id_medio_pago;fecha_pago;monto;cuotas
1;1;3;03/01/2026;15.440,59;12
2;2;1;30/10/2025;3.678,16;1
3;3;3;29/03/2026;4.227,75;12
4;4;3;13/05/2026;1.917,90;1
5;5;2;25/01/2026;30.449,59;1
6;5;2;25/01/2026;20.299,73;1
7;6;5;24/02/2026;1.248,65;1
8;6;1;25/02/2026;832,43;1
9;7;1;31/05/2026;18.520,32;1
10;8;5;14/07/2026;4.047,65;1
11;9;1;10/05/2026;54.745,28;1
12;10;6;11/08/2026;11.856,66;1
13;11;6;16/12/2025;27.794,52;1
14;12;3;19/06/2026;2.819,64;3
15;13;4;10/06/2026;40.644,36;1
16;14;1;07/08/2026;41.635,71;1
17;15;4;21/10/2025;16.901,52;1
18;16;2;14/12/2025;29.367,00;1
19;17;1;16/08/2026;1.805,32;1
20;18;1;19/12/2025;3.462,61;1
21;19;6;11/07/2026;6.945,12;1
22;20;1;20/10/2025;18.514,80;1
23;21;3;10/01/2026;3.660,91;3
24;22;3;29/11/2025;1.725,74;1
25;23;5;25/07/2026;1.332,80;1
26;24;1;12/09/2025;36.292,38;1
27;25;5;04/11/2025;12.337,64;1
28;26;6;21/01/2026;39.356,04;1
29;27;4;21/11/2025;2.074,79;1
30;27;1;21/11/2025;1.383,19;1
31;28;1;26/05/2026;3.729,76;1
32;29;1;10/12/2025;96.277,14;1
33;30;2;15/11/2025;16.791,68;1
34;31;5;05/10/2025;78.378,36;1
35;32;2;23/04/2026;4.943,26;1
36;33;2;24/03/2026;6.801,63;1
37;34;6;24/12/2025;44.252,13;1
38;35;5;28/07/2026;20.078,25;1
39;36;1;24/08/2026;4.530,96;1
40;37;4;28/03/2026;2.970,92;1
41;38;2;15/12/2025;22.280,28;1
42;39;2;17/10/2025;1.036,81;1
43;40;1;06/12/2025;8.548,20;1
44;41;1;16/11/2025;9.335,94;1
45;42;2;02/02/2026;52.588,56;1
46;43;6;15/02/2026;5.887,69;1
47;43;1;16/02/2026;3.925,12;1
48;44;2;28/01/2026;2.348,69;1
49;45;2;30/12/2025;1.533,97;1
50;46;4;11/03/2026;1.870,00;1
51;47;1;08/12/2025;4.113,19;1
52;48;3;10/10/2025;5.429,64;12
53;49;3;03/11/2025;7.023,20;12
54;50;3;03/09/2025;31.744,68;12
55;51;1;25/08/2026;28.405,58;1
56;51;1;24/08/2026;18.937,06;1
57;52;3;16/01/2026;5.483,38;1
58;53;1;19/06/2026;82.205,64;1
59;54;2;20/09/2025;2.561,92;1
60;54;2;20/09/2025;1.707,95;1
61;55;3;04/11/2025;1.905,67;12
62;55;3;05/11/2025;1.270,45;1
63;56;1;16/10/2025;9.636,18;1
64;57;6;20/02/2026;22.419,18;1
65;58;3;19/10/2025;7.204,96;12
66;59;6;28/12/2025;13.484,97;1
67;99999;2;09/03/2026;35.983,32;1
68;61;1;16/07/2026;23.119,44;1
69;62;2;14/01/2026;27.225,48;1
70;63;1;29/08/2026;5.419,62;1
71;64;2;26/06/2026;27.435,76;1
72;65;1;29/11/2025;5.302,80;1
73;66;5;05/12/2025;9.658,52;1
74;67;4;21/11/2025;10.096,52;1
75;68;5;26/03/2026;19.606,80;1
76;69;4;29/03/2026;4.109,52;1
77;70;2;01/12/2025;3.162,60;1
78;71;2;05/03/2026;17.771,49;1
79;72;6;13/02/2026;12.756,42;1
80;73;2;22/12/2025;5.192,97;1
81;74;5;12/08/2026;2.675,46;1
82;75;2;09/07/2026;4.315,02;1
83;76;3;17/03/2026;6.808,90;1
84;77;3;04/02/2026;75.339,84;6
85;78;1;28/04/2026;5.601,48;1
86;79;1;15/01/2026;3.068,39;1
87;80;5;09/04/2026;80.056,80;1
88;81;4;22/04/2026;23.711,46;1
89;82;2;14/06/2026;43.395,96;1
90;83;2;08/11/2025;7.521,48;1
91;84;1;03/04/2026;10.575,40;1
92;85;2;17/06/2026;9.350,22;1
93;86;1;03/05/2026;7.760,76;1
94;87;3;20/09/2025;31.264,00;12
95;88;4;20/10/2025;17.632,80;1
96;89;1;01/11/2025;66.332,23;1
97;89;1;02/11/2025;44.221,49;1
98;90;1;15/04/2026;6.311,68;1
99;91;1;23/04/2026;82.022,52;1
100;92;4;21/02/2026;6.253,16;1
101;99999;5;21/02/2026;4.168,78;1
102;93;3;30/09/2025;1.440,03;1
103;94;4;10/11/2025;6.017,10;1
104;95;5;27/04/2026;39.158,28;1
105;96;1;21/12/2025;8.128,52;1
106;97;5;12/01/2026;4.975,50;1
107;98;1;30/08/2026;7.195,72;1
108;99;1;21/07/2026;14.159,00;1
109;100;2;08/10/2025;38.833,95;1
110;101;3;16/01/2026;3.503,01;1
111;102;2;14/03/2026;6.900,03;1
112;103;1;14/11/2025;20.824,74;1
113;104;1;01/02/2026;9.511,36;1
114;105;3;19/10/2025;4.835,36;3
115;106;1;02/05/2026;5.442,28;1
116;107;5;14/06/2026;14.008,24;1
117;108;6;02/09/2026;2.683,29;1
118;109;2;30/05/2026;39.956,16;1
119;110;1;26/02/2026;36.253,32;1
120;111;3;02/11/2025;5.183,44;12
121;112;1;11/03/2026;5.040,56;1
122;113;3;09/01/2026;4.021,32;12
123;114;1;23/09/2025;2.956,86;1
124;115;4;27/11/2025;18.038,52;1
125;116;3;20/03/2026;11.093,04;12
126;116;1;21/03/2026;7.395,36;1
127;117;3;08/06/2026;2.847,44;3
128;118;1;04/10/2025;20.500,53;1
129;119;1;31/07/2026;4.671,11;1
130;120;1;07/05/2026;2.182,46;1
131;121;1;07/04/2026;9.516,04;1
132;122;5;09/05/2026;8.526,60;1
133;123;1;18/06/2026;4.037,41;1
134;124;1;26/10/2025;7.956,76;1
135;125;1;24/12/2025;12.127,98;1
136;126;1;05/07/2026;15.784,80;1
137;127;3;20/12/2025;20.238,62;1
138;128;2;25/05/2026;21.194,04;1
139;129;3;16/06/2026;16.567,34;6
140;129;1;13/06/2026;11.044,90;1
141;130;2;15/05/2026;22.004,58;1
