IdVenta,Fecha,Vendedor,IdProducto,Cantidad,Precio Unitario,Importe
1,03/01/2026,6,30,1,15440.59,15440.59
2,2025-10-28,4,39,2,1839.08,3678.16
3,2026-03-28,5,3,1,4227.75,4227.75
4,2026-05-12,9,6,2,958.95,1917.90
5,2026-01-24,6,23,12,4229.11,50749.32
6,22/02/2026,2,15,1,2081.08,2081.08
7,30/05/2026,5,24,12,1543.36,18520.32
8,2026-07-14,4,3,1,4047.65,4047.65
9,07/05/2026,11,28,4,13686.32,54745.28
10,2026-08-09,12,9,6,1976.11,11856.66
11,2025-12-15,99,28,2,13897.26,27794.52
12,2026-06-18,10,2,2,1409.82,2819.64
13,2026-06-07,,29,4,10161.09,40644.36
14,2026-08-06,3,16,3,13878.57,41635.71
15,2025-10-18,7,12,12,1408.46,16901.52
16,2025-12-14,2,16,2,14683.50,29367.00
17,14/08/2026,2,9,1,1805.32,1805.32
18,17/12/2025,1,38,1,3462.61,3462.61
19,2026-07-09,,21,2,3472.56,6945.12
20,19/10/2025,3,5,12,1542.90,18514.80
21,2026-01-10,9,26,1,3660.91,3660.91
22,27/11/2025,1,17,1,1725.74,1725.74
23,2026-07-25,5,12,1,1332.80,1332.80
24,12/09/2025,6,32,2,18146.19,36292.38
25,02/11/2025,11,13,4,3084.41,12337.64
26,20/01/2026,4,31,6,6559.34,39356.04
27,2025-11-21,4,38,1,3457.98,3457.98
28,2026-05-23,2,39,2,1864.88,3729.76
29,2025-12-08,9,30,6,16046.19,96277.14
30,2025-11-13,2,40,4,4197.92,16791.68
31,04/10/2025,6,34,12,6531.53,78378.36
32,2026-04-23,7,1,1,4943.26,4943.26
33,23/03/2026,10,10,3,2267.21,6801.63
34,2025-12-24,4,30,3,14750.71,44252.13
35,2026-07-26,,19,3,6692.75,20078.25
36,2026-08-21,10,24,3,1510.32,4530.96
37,25/03/2026,2,5,2,1485.46,2970.92
38,15/12/2025,2,11,6,3713.38,22280.28
39,15/10/2025,,6,1,1036.81,1036.81
40,2025-12-04,10,37,4,2137.05,8548.20
41,2025-11-16,9,13,3,3111.98,9335.94
42,2026-01-30,6,40,12,4382.38,52588.56
43,13/02/2026,10,29,1,9812.81,9812.81
44,2026-01-28,6,4,1,2348.69,2348.69
45,2025-12-30,11,24,1,1533.97,1533.97
46,2026-03-10,7,37,1,1870.00,1870.00
47,06/12/2025,10,23,1,4113.19,4113.19
48,2025-10-10,99,7,2,2714.82,5429.64
49,2025-11-02,5,11,2,3511.60,7023.20
50,01/09/2025,11,29,3,10581.56,31744.68
51,22/08/2026,3,36,12,3945.22,47342.64
52,2026-01-13,6,8,1,5483.38,5483.38
53,19/06/2026,1,31,12,6850.47,82205.64
54,2025-09-20,4,40,1,4269.87,4269.87
55,2025-11-03,7,21,1,3176.12,3176.12
56,2025-10-13,10,33,3,3212.06,9636.18
57,2026-02-19,12,36,6,3736.53,22419.18
58,2025-10-18,2,17,4,1801.24,7204.96
59,25/12/2025,6,40,3,4494.99,13484.97
60,2026-03-06,11,8,6,5997.22,35983.32
61,2026-07-13,12,36,6,3853.24,23119.44
62,2026-01-12,7,14,4,6806.37,27225.48
63,2026-08-28,1,39,3,1806.54,5419.62
64,25/06/2026,1,28,2,13717.88,27435.76
65,2025-11-27,12,1,1,5302.80,5302.80
66,2025-12-04,10,22,4,2414.63,9658.52
67,19/11/2025,4,35,4,2524.13,10096.52
68,2026-03-25,2,24,12,1633.90,19606.80
69,2026-03-27,1,37,2,2054.76,4109.52
70,01/12/2025,10,18,1,3162.60,3162.60
71,2026-03-03,3,34,3,5923.83,17771.49
72,2026-02-11,1,23,3,4252.14,12756.42
73,2025-12-21,12,17,3,1730.99,5192.97
74,11/08/2026,10,7,1,2675.46,2675.46
75,08/07/2026,10,40,1,4315.02,4315.02
76,2026-03-15,7,38,2,3404.45,6808.90
77,2026-02-02,9,19,12,6278.32,75339.84
78,2026-04-26,12,39,3,1867.16,5601.48
79,2026-01-14,11,13,1,3068.39,3068.39
80,2026-04-07,3,28,6,13342.80,80056.80
81,2026-04-19,3,23,6,3951.91,23711.46
82,2026-06-13,10,26,12,3616.33,43395.96
83,2025-11-07,4,9,4,1880.37,7521.48
84,2026-04-02,9,22,4,2643.85,10575.40
85,2026-06-15,10,21,3,3116.74,9350.22
86,30/04/2026,12,23,2,3880.38,7760.76
87,2025-09-19,12,30,2,15632.00,31264.00
88,18/10/2025,6,24,12,1469.40,17632.80
89,2025-10-30,99,32,6,18425.62,110553.72
90,2026-04-14,10,38,2,3155.84,6311.68
91,2026-04-22,6,14,12,6835.21,82022.52
92,2026-02-19,12,17,6,1736.99,10421.94
93,30/09/2025,11,5,1,1440.03,1440.03
94,2025-11-07,8,6,6,1002.85,6017.10
95,2026-04-25,12,38,12,3263.19,39158.28
96,2025-12-20,5,37,4,2032.13,8128.52
97,12/01/2026,3,20,6,829.25,4975.50
98,29/08/2026,7,17,4,1798.93,7195.72
99,2026-07-19,12,11,4,3539.75,14159.00
100,2025-10-07,10,28,3,12944.65,38833.95
101,2026-01-16,9,11,1,3503.01,3503.01
102,2026-03-11,4,14,1,6900.03,6900.03
103,2025-11-13,12,21,6,3470.79,$ 20824.74
104,2026-01-30,12,10,4,2377.84,9511.36
105,19/10/2025,8,22,2,2417.68,4835.36
106,29/04/2026,1,7,2,2721.14,5442.28
107,2026-06-14,4,38,4,3502.06,14008.24
108,30/08/2026,6,25,1,2683.29,2683.29
109,2026-05-27,6,33,12,3329.68,39956.16
110,2026-02-25,11,19,6,6042.22,36253.32
111,2025-11-01,8,35,2,2591.72,5183.44
112,2026-03-09,9,22,2,2520.28,5040.56
113,2026-01-08,5,12,3,1340.44,4021.32
114,21/09/2025,4,5,2,1478.43,2956.86
115,2025-11-24,5,24,12,1503.21,18038.52
116,20/03/2026,5,24,12,1540.70,18488.40
117,2026-06-07,4,13,1,2847.44,2847.44
118,2025-10-02,10,14,3,6833.51,20500.53
119,2026-07-30,7,1,1,4671.11,4671.11
120,2026-05-05,12,15,1,2182.46,2182.46
121,2026-04-06,1,1,2,4758.02,9516.04
122,2026-05-08,4,25,3,2842.20,8526.60
123,18/6/2026,11,23,1,4037.41,4037.41
124,2025-10-26,7,40,2,3978.38,7956.76
125,2025-12-24,9,31,2,6063.99,12127.98
126,2026-07-02,10,12,12,1315.40,15784.80
127,19/12/2025,6,29,2,10119.31,20238.62
128,2026-05-24,3,39,12,1766.17,21194.04
129,2026-06-13,3,28,2,13806.12,27612.24
130,2026-05-15,12,36,6,3667.43,22004.58
131,2026-03-15,6,18,2,3146.40,6292.80
132,2025-12-05,1,11,3,3713.83,11141.49
133,2026-06-20,2,6,2,985.16,1970.32
134,08/04/2026,,4,1,2126.62,2126.62
135,2026-06-03,1,6,6,941.67,5650.02
136,2026-08-29,2,32,4,17821.94,71287.76
137,20/12/2025,10,39,2,1847.37,3694.74
138,14/02/2026,5,21,12,3295.28,39543.36
139,28/03/2026,2,14,2,6727.20,$ 13454.40
140,16/10/2025,7,30,4,15796.18,63184.72
141,22/12/2025,9,5,3,1538.35,4615.05
142,2026-01-20,8,2,6,1315.69,7894.14
143,2025-11-29,6,11,4,3628.05,14512.20
144,2025-10-07,5,11,4,3606.50,14426.00
145,2026-03-29,9,40,4,3946.83,15787.32
146,24/03/2026,7,37,1,1977.07,1977.07
147,22/9/2025,6,29,2,10743.12,21486.24
148,2026-06-05,2,2,1,1446.58,1446.58
149,23/10/2025,11,7,1,2736.10,2736.10
150,26/06/2026,5,28,3,13111.11,39333.33
151,2026-02-24,4,38,6,3198.55,19191.30
152,2026-07-20,9,20,2,831.06,1662.12
153,2025-09-09,9,34,6,6559.62,39357.72
154,28/06/2026,1,38,1,3198.97,3198.97
155,09/09/2025,12,23,2,3803.92,7607.84
156,08/06/2026,10,35,1,2391.37,2391.37
157,23/1/2026,,18,2,3103.13,6206.26
158,2026-01-06,99,37,2,2047.31,4094.62
159,2026-06-25,7,9,2,1922.61,3845.22
160,2026-02-10,6,4,2,2364.98,4729.96
161,2025-09-23,4,30,1,15772.39,15772.39
162,2026-05-14,11,22,2,2590.37,5180.74
163,2025-10-02,5,34,12,6382.00,76584.00
164,22/06/2026,10,8,1,5661.65,5661.65
165,2026-08-14,7,22,4,2513.94,10055.76
166,2026-01-22,8,2,12,1384.71,16616.52
